id,avatar_url,created_at,display_name,email,last_active_at,password_hash,phone,role,status,username
2,https://picsum.photos/id/237/200/300,47:55.5,Default Display Name,longgd@example.com,NULL,1234,0901234567,USER,ACTIVE,longgd
3,https://picsum.photos/id/237/200/300,49:36.3,Default Display Name,trang@example.com,NULL,Abcd1234@,0911223344,USER,ACTIVE,trangnguyen
4,https://picsum.photos/id/237/200/300,50:01.4,Default Display Name,vinh.tran@example.com,NULL,shitdontworklikethat,0933445566,USER,ACTIVE,vinhtran
5,https://picsum.photos/id/237/200/300,50:26.4,Default Display Name,hoangminh@example.com,NULL,tungtungtungsahur,0977001122,USER,ACTIVE,hoangminh
6,https://picsum.photos/id/237/200/300,03:52.0,Default Display Name,hahah@example.com,NULL,tungtungtungsahur,0977001120,USER,ACTIVE,huhu
7,https://picsum.photos/id/237/200/300,41:41.8,Default Display Name,meo@example.com,NULL,password123,0912345678,USER,ACTIVE,meomeo123
8,https://picsum.photos/id/237/200/300,41:51.3,Default Display Name,john@example.com,NULL,johnnydoe2024,0988111222,USER,ACTIVE,john_doe
9,https://picsum.photos/id/237/200/300,42:00.3,Default Display Name,sunny@example.com,NULL,sunnydayz,0909090909,USER,ACTIVE,sunshine
10,https://picsum.photos/id/237/200/300,42:22.8,Default Display Name,owl@example.com,NULL,nightpass999,0933444555,USER,ACTIVE,nightowl
11,https://picsum.photos/id/237/200/300,53:00.1,Default Display Name,sunrise1188@example.com,NULL,sunpass123,0911342333,USER,ACTIVE,sunris1288
12,https://picsum.photos/id/237/200/300,53:41.4,Default Display Name,sunre1188@example.com,NULL,sunpass123,0924342333,USER,ACTIVE,sun1288
13,https://picsum.photos/id/237/200/300,54:05.9,Default Display Name,sunr188@example.com,NULL,sunpass123,0924348583,USER,ACTIVE,tungtungtungsahur1288
